X4PP;City;Municipality;Province
5200;'s-Hertogenbosch;'s-Hertogenbosch;Noord-Brabant
5201;'s-Hertogenbosch;'s-Hertogenbosch;Noord-Brabant
5202;'s-Hertogenbosch;'s-Hertogenbosch;Noord-Brabant
5203;'s-Hertogenbosch;'s-Hertogenbosch;Noord-Brabant
5211;'s-Hertogenbosch;'s-Hertogenbosch;Noord-Brabant
5212;'s-Hertogenbosch;'s-Hertogenbosch;Noord-Brabant
5213;'s-Hertogenbosch;'s-Hertogenbosch;Noord-Brabant
5215;'s-Hertogenbosch;'s-Hertogenbosch;Noord-Brabant
5216;'s-Hertogenbosch;'s-Hertogenbosch;Noord-Brabant
5221;'s-Hertogenbosch;'s-Hertogenbosch;Noord-Brabant
5222;'s-Hertogenbosch;'s-Hertogenbosch;Noord-Brabant
5223;'s-Hertogenbosch;'s-Hertogenbosch;Noord-Brabant
5224;'s-Hertogenbosch;'s-Hertogenbosch;Noord-Brabant
5231;'s-Hertogenbosch;'s-Hertogenbosch;Noord-Brabant
5232;'s-Hertogenbosch;'s-Hertogenbosch;Noord-Brabant
5233;'s-Hertogenbosch;'s-Hertogenbosch;Noord-Brabant
5234;'s-Hertogenbosch;'s-Hertogenbosch;Noord-Brabant
5235;'s-Hertogenbosch;'s-Hertogenbosch;Noord-Brabant
5236;'s-Hertogenbosch;'s-Hertogenbosch;Noord-Brabant
5237;'s-Hertogenbosch;'s-Hertogenbosch;Noord-Brabant
5240;Rosmalen;'s-Hertogenbosch;Noord-Brabant
5241;Rosmalen;'s-Hertogenbosch;Noord-Brabant
5242;Rosmalen;'s-Hertogenbosch;Noord-Brabant
5243;Rosmalen;'s-Hertogenbosch;Noord-Brabant
5244;Rosmalen;'s-Hertogenbosch;Noord-Brabant
5245;Rosmalen;'s-Hertogenbosch;Noord-Brabant
5246;'s-Hertogenbosch;'s-Hertogenbosch;Noord-Brabant
5247;Rosmalen;'s-Hertogenbosch;Noord-Brabant
5248;Rosmalen;'s-Hertogenbosch;Noord-Brabant
5249;Rosmalen;'s-Hertogenbosch;Noord-Brabant
9443;Schoonloo;Aa en Hunze;Drenthe
9444;Grolloo;Aa en Hunze;Drenthe
9445;Vredenheim;Aa en Hunze;Drenthe
9446;Amen;Aa en Hunze;Drenthe
9447;Papenvoort;Aa en Hunze;Drenthe
9448;Marwijksoord;Aa en Hunze;Drenthe
9449;Nooitgedacht;Aa en Hunze;Drenthe
9450;Rolde;Aa en Hunze;Drenthe
9451;Rolde;Aa en Hunze;Drenthe
9452;Nijlande;Aa en Hunze;Drenthe
9453;Eldersloo;Aa en Hunze;Drenthe
9454;Ekehaar;Aa en Hunze;Drenthe
9455;Geelbroek;Aa en Hunze;Gelderland
9456;Eleveld;Aa en Hunze;Drenthe
9457;Deurze;Aa en Hunze;Drenthe
9458;Balloo;Aa en Hunze;Drenthe
9459;Balloërveld;Aa en Hunze;Drenthe
9460;Gieten;Aa en Hunze;Drenthe
9461;Gieten;Aa en Hunze;Drenthe
9462;Gasselte;Aa en Hunze;Drenthe
9463;Eext;Aa en Hunze;Drenthe
9464;Eexterzandvoort;Aa en Hunze;Drenthe
9465;Anderen;Aa en Hunze;Drenthe
9466;Gasteren;Aa en Hunze;Drenthe
9467;Anloo;Aa en Hunze;Drenthe
9468;Annen;Aa en Hunze;Drenthe
9469;Schipborg;Aa en Hunze;Drenthe
9511;Gieterveen;Aa en Hunze;Drenthe
9512;Nieuwediep;Aa en Hunze;Drenthe
9514;Gasselternijveen;Aa en Hunze;Drenthe
9515;Gasselternijveenschemond;Aa en Hunze;Drenthe
9654;Annerveenschekanaal;Aa en Hunze;Drenthe
9655;Oud Annerveen;Aa en Hunze;Drenthe
9656;Spijkerboor;Aa en Hunze;Drenthe
9657;Nieuw Annerveen;Aa en Hunze;Drenthe
9658;Eexterveen;Aa en Hunze;Drenthe
9659;Eexterveenschekanaal;Aa en Hunze;Drenthe
4260;Wijk en Aalburg;Aalburg;Noord-Brabant
4261;Eethen;Aalburg;Noord-Brabant
4264;Veen;Aalburg;Noord-Brabant
4265;Genderen;Aalburg;Noord-Brabant
4266;Eethen;Aalburg;Noord-Brabant
4267;Drongelen;Aalburg;Noord-Brabant
4268;Meeuwen;Aalburg;Noord-Brabant
4269;Babyloniënbroek;Aalburg;Noord-Brabant
1424;Aalsmeer;Aalsmeer;Noord-Holland
1430;Aalsmeer;Aalsmeer;Noord-Holland
1431;Aalsmeer;Aalsmeer;Noord-Holland
1433;Aalsmeer;Aalsmeer;Noord-Holland
7090;Dinxperlo;Aalten;Gelderland
7091;Dinxperlo;Aalten;Gelderland
7095;De Heurne;Aalten;Gelderland
